Reviews,Ratings
"
  Hello",3.0 out of 5 stars
"
  The phone is light weight and has good build quality.",3.0 out of 5 stars
"
  I purchased 12 gb but some time lags while calling. Not showing dailer option and some time not showing contact number of phone received, just ringing.",1.0 out of 5 stars
"
  I bought the phone because of the reputation that One plus has. But this phone does not do justice at all. It freezes most of the time and is damn slow. The only good thing is that it charges quickly. Nothing else is great.
",1.0 out of 5 stars
"
  Amazon box was not fully sealed packed. so i may afraid I get a damaged product in warehouse.",2.0 out of 5 stars
"
  Suddenly Phone gets hanged on usage 2hrs continuously and no apps can be visible at that time other than wallpaper. Recent time I could see some network issues with mobile phone, I couldn't get any message or call untill I notice and restart the mobile. Other than these issues I see the Nord CE as perfect in low budget OnePlus phones
",3.0 out of 5 stars
"
  This phone seems not went through quality check process.
",1.0 out of 5 stars
"
  The phone makes some air noise while on audio or video calls and the other person fails to understand a single word. This happened within 15 days of purchase but there is no option to return as the window closed
",2.0 out of 5 stars
"
  3rd day of use - phone started to restart on its own.",1.0 out of 5 stars
"
  Not accepting such poor quality from 1 Plus. Camera same as normal other phone  range of 15 to 18 thousands.
",2.0 out of 5 stars
"
  1. Voice breaks during calling. Everytime I have to disconnect the call and call again",2.0 out of 5 stars
"
  I found no issues at all. Battery life is good. Oxygen OS performance is good. I don't use camera much so I won't comment on it. Played BGMI and performance is smooth. Didn't found any heating issue. Value for money.",5.0 out of 5 stars
"
  The phone actually bent, we took proper care and I am sure that there is no external force applied and I believe it happened due to charging the phone and obviously it has a very delicate hardware, avoid buying this piece of paper!
",1.0 out of 5 stars
"
  Slow operating system, worst build quality, average camera performance, system is hanging to much overall not happy with this oneplus  and a advice for oneplus if you are not master in making mid range smartphone then why r u wasting your time and costumer  money , manufacture a device in which u r master  not some new and wrost product like this
",1.0 out of 5 stars
"
  Battery too good.",3.0 out of 5 stars
"
  Really the Nord CE has improved a lot and they have focused on core element like battery,camera,design etc.performance is great because of Oxygen OS.Display is impressive.good to go with it.
",5.0 out of 5 stars
"
  I have exchanged OnePlus 6T 6GB RAM and 128GB internal memory for Nord CE 5G 12GB RAM and 256GB internal memory.",3.0 out of 5 stars
"
  Mobile have 1 major problem that when you receive the call automatically call recorder, hold , mute option started, Means over the sensor was not perfectly works.....also same problem with others.... I checked",1.0 out of 5 stars
"
  Camera performance is too poor. My oneplus3 camera performance is much better than Nord CE. Phone is lagging while switching back to home screen, haptic feedback is poor. Purchase this only for oxygen OS otherwise don't fall for it. It will be an end of OnePlus era if the company is not focusing what they used to be
",3.0 out of 5 stars
"
  If you are planning to switch to Oneplus after using any other brand, this phone is a must buy. A few compromises are there like alert slider and quite old processor. But if you are looking for a phone for normal Multitasking and phone usage then this is the best one to opt for.
",5.0 out of 5 stars
"
  Phone software issue, it's hanged with in one week of purchase. With in one week of purchase calls hanged, Amazon Pls don't encourage this type product, its cost 25 k, but immediate of purchase this type of problems how?
",2.0 out of 5 stars
"
  The most important usage of everyone is video calls and oneplus has very poor camera quality for video calls ..feels like old vga camera on laptops.. Disappointed
",3.0 out of 5 stars
"
  Worst phone ever used, Its a waste of money. The processor is very slow, Battery degrades very fast also the phone heats too much. Submitted to service center within few days of use that too in guarantee period. Issues are yet to be resolved and i am yet to get back mu phone. Services offered by the company is pathetic. Please don't go for it.
",1.0 out of 5 stars
"
  A good phone at this price from One Plus Flagship. No issues as such. A Good camera both rear and front. Rear camera has cool feartues to use while taking pictures. OS is working perfectly. Light weight. Battery life is good and depends upon your usage. Over all best buy in this price range. Those who want more should than double their budget.
",4.0 out of 5 stars
"
  It is slow against what they committed and it is hanging quite often with no data
",1.0 out of 5 stars
"
  Good Camera but it can be better.",3.0 out of 5 stars
"
  Nice inhand feel, good software, noticed few bugs though. Mejor improvement required in charging segment, it's really charge very slow and battery drains too fast. Low light camera experience is pathetic, both front and rear. Not value for money product.
",4.0 out of 5 stars
"
  -Battery backup is very less if you are heavy user or plays games and watch videos a lot.",3.0 out of 5 stars
"
  The most "" PATHETIC "" quality phone you can ever come across that boasts itself for world class phones.",1.0 out of 5 stars
"
  Good purchase
",4.0 out of 5 stars
"
  It's a good phone.very light weight, smooth and good battery backup. . Before I used redmi note 9pro,I it it was a good phone also but quite heavy and the battery  drains very fast after using 9months. If you want to buy this phone then don't think go on hope it will meet your desire.
",5.0 out of 5 stars
"
  Just what you need....",4.0 out of 5 stars
"
  Design is nice and everything is good but not for that much money, price should have been around 20-21K , its not worth of paying 25K for this, very slow charging and it lags sometimes between switching the apps and also my phone reboots on its own, no idea why it is doing that. Sadly its not upto mark of OnePlus,should have been better.
",3.0 out of 5 stars
"
  Just for casual or official use .Not for heavy use.oxygen os is good but lags response . somewhere gives faltered feeling.but ok for 22999. Don't buy other variant than 22999 everyone will regret.Im one plus 6t user and bought this for mother. still one plus 5t  better than this along with other flagships😅.
",3.0 out of 5 stars
"
  Decent phone smooth operating system front camera not up to the mark need more pixels battery life good with fast wrap charger",4.0 out of 5 stars
"
  Good phone for regular usage ( maybe best for parents who are not heavy users) display is good, camera is worst.But disappointed with processor performance.
",3.0 out of 5 stars
"
  Nice phone at this price point don't compare this phone with other brands like vivo and iqoo this is totally different from them and have a very nice build and hardware-software quality ,all other experience is quite awesome .. I'm writing this review after using this phone for 20 days and didint found any lags and any other things. .
",5.0 out of 5 stars
"
  Really very disappointed after buying this. not like other oneplus product. its better to buy other mobile brands product which are much lower in price and more efficient in working.
",1.0 out of 5 stars
"
  This phone is hardly worth 10k Rs , the camera is pathetic. Images are grainy and blurred in daylight also.",1.0 out of 5 stars
"
  Sabse 3rd class phone hai is price range me isse acha mi ka mid range phone lelo 10-15k tak …. Camera just like any china mobile that costs only 4-5k thooooooooo for oneplus
",1.0 out of 5 stars
"
  Oxygen os is not better then samsung UI.",3.0 out of 5 stars
"
  Performance is stunning....Quality of camera could have been improved...Built is great... Deleting of photos takes time hope it will get fixed in next update..Charges in real quick time...No heating issues found yet....Overall the phone is a good budget deal under Oneplus brand.
",5.0 out of 5 stars
"
  By seeing the specification of product it seems the phone is good and had a lot specification but as I had the phone",2.0 out of 5 stars
"
  Just received it and using for 2 days.. no issues, best phone in its category. Good camera, long battery life (lasted 1.5 days of normal usage).. so liking the phone very much.
",5.0 out of 5 stars
"
  Excellent OS.",5.0 out of 5 stars
"
  Just a mid range phone.UI is laggy,build quality is cheap,cameras ok,battery backup is gud.Nord is a better phone then Nord CE in every aspect.
",4.0 out of 5 stars
"
  Battery is draining really fast in this phone. I had one plus 7 earlier and it was much better. Processing is also very slow. After using it for 3 weeks , I feel even a Samsung phone under 15k would have performed better than this phone. It's a complete waste of money , I would suggest not to buy it
",1.0 out of 5 stars
"
  Overall good buy at this price
",4.0 out of 5 stars
"
  Very good Smartphone.",3.0 out of 5 stars
"
   No lagging Issue.",5.0 out of 5 stars
"
  Wrost product from one plus, camera is not that good for what one plus known, no notification light 😤.",2.0 out of 5 stars
"
  As Compared to One Plus Nord some features are up and downside But its Something little more than expected. Phone Look, Features, Weight, Colour, functions etc everthing is just superb. Thank you One Plus for Core edition.
",5.0 out of 5 stars
"
  Camera is good..but volume buttons are in wrong place,if we hold phone our hand will touch to buttons so phone is going into silent mode frequently which is very problematic..and games are stucking..its an average phone...
",2.0 out of 5 stars
"
  vesy bad mobile phone it is... it seriously hangs every other minute... even if u are watching a video on youtube and suddenly you receive a call... it will just hang...that is just an example of many other situations in which it hangs....... truly a very bad experience i had with the mobile phone... the worst i can have
",1.0 out of 5 stars
"
  Average Phone. This phone nowhere gives you one plus feel. I was using one plus from past 4 years but this phone disappointed me. Camera is taking more than 4-5 seconds to provide clarity in images pixels
",4.0 out of 5 stars
"
  Fastest fingerprint sensor. & 64 Megapixel Triple Camera gives real natural clicks. & One+ 4500 mah Big  Battery Long - Lasting Backup. Truly amazing and appreciate ONE+ NORD CE 5G . Thank - you Amazon.
",4.0 out of 5 stars
"
  Want one plus for low price this is the best , only for parents and elders because for youth we play games which becomes a problem
",5.0 out of 5 stars
"
  Build quality is not so good. Camera quality is so so. Vivo phones are far better in terms of camera and built quality than nord CE ,in this price range.
",3.0 out of 5 stars
"
  It's the worst one plus phone , my 4th and last one plus , don't but at all , number of issues.",1.0 out of 5 stars
"
  The camera of this phone was very disappointing considering the fact that it was a one plus. The camera quality of a one plus 7 is much better than this one.  It takes very long to click the photo because of which most come out blurry. I would not recomend this phone.
",2.0 out of 5 stars
"
  I personally like the Android implementation by 1plus, MI phones have very bloated implementation in budget segment. This phone feels a lot more premium with fast under-the-screen fingerprint reader, bright display and fairly light weight considering a 4500 mAh battery. Camera quality is pretty good too.
",5.0 out of 5 stars
"
  Quality of product not acceptable, compared to oneplus 7&8. Kindly replaced with I ready to pay differential
",1.0 out of 5 stars
"
  Camera quality is not that good.",4.0 out of 5 stars
"
  Fingerprit reader is so quickly. battery life good.camera is o.k.
",4.0 out of 5 stars
"
  Mobile heating issues within 10 min while using internet , adaptive brightness display sensor quality very poor , finger  print sensor some times slow. Mobile hanged unable to login then for to restart .very high price for this mobile OnePlus Nord CE 5g,no worth for this price
",2.0 out of 5 stars
"
  Don't buy u have many more options with same features &less price performance wise very poor u will hate.",1.0 out of 5 stars
"
  Not so happy wd camera...doubt if its even 64mp, my 7t camera functions better...disappointed wd camera quality...
",3.0 out of 5 stars
"
  It's an average quality phone in this range. I bought it 3 days back and found it average.",3.0 out of 5 stars
"
  I bought this mobile for my wife on her Birthday but she isn't happy with this phone. This mobile has worst front camera and she doesn't prefer anyone to buy this phone.
",1.0 out of 5 stars
"
  The phone is overall very good.the camera quality is very excellent.battery life is also decent and the charger is awesome. because of Snapdragon 750G processor ,the gaming experience is very good . Gamers like free fire 🔥 pubg... Are running smoothly without lags",5.0 out of 5 stars
"
  Amazon give very let delivery also phone camera is like 16 pixels.plese don't waste your money for this product and also don't buy anything from Amazon due very let delivery.amazon customer support also not give answer. totally disappointed
",1.0 out of 5 stars
"
  One of worst mobile of year and also worst of the oneplus I think Just 2 days ago I have taken this mobile I have used just one day after that handding problem started few application are not closing only even if I cut call also it is cutting after 20 Seconds better then this my old Samsung A20S mobile is best
",1.0 out of 5 stars
"
  Faith on one plus for its excellent hardware specially Camera functions is broken this time.",1.0 out of 5 stars
"
  I was an iPhone user, planned to switch Android phone and but this phone on 19 June. With in 10 days this phone start hang and some of the Android application taking more time to open. Some applications will not open in one click. U need to close that app and open again.
",1.0 out of 5 stars
"
  Phone feels premium, doesn't look cheap, don't feel like plastic back no difference then glass back, good performance,decent battery life.",5.0 out of 5 stars
"
  I brought 12 GB RAM  and 256 GB but response is very poor (I feel earlier phone from other brand with 6GB is much faster), Apps closes suddenly and Battery drains very fast and get charged very slowly. I feel like I am using phone without battery.
",1.0 out of 5 stars
"
  Excellent camera quality.... Although the shutter speed could have been better..... But photos are incredible... For someone who does not play games, charging the phone once in a day should be fine.. you will definitely feel the light weight of the phone...
",5.0 out of 5 stars
"
  What nonsense yar, hanging, heating and not working properly, I don't think this is 8gb ram at all . Please don't buy it's waste of money
",1.0 out of 5 stars
"
  Pros - processor, light weight, Back camera, Display, Battery backup, very easy to use.",3.0 out of 5 stars
"
  Worst phone in OnePlus history I think. I am using one plus since years.. bought this for my spouse.. when we dial we will listen ringtone but other side persons phone will not get connected. This is happening vice versa.. And also heating . Not worth of buying that too for 25k.
",1.0 out of 5 stars
"
  Regretting after buying this phone totally not worth it.It hangs camera quality is very poor takes so much time for deleting images and capturing images.Resolution is poor tried to get the refund they sent me replacement.I have been told replacement is not possible.
",1.0 out of 5 stars
"
   Before that I was using the oppo f17 pro Mobile was very fast and superb but always I want to use OnePlus so I placed it on pre order only but I totally disappointed the way this mobile is performing very poor experience don't buy this
",1.0 out of 5 stars
"
  This is for people who are looking for auto call recording. There is no such facility straightforward. It's coming with Google calling app which will announce  to all audiences incase recording starts. One plus calling app app can be installed but it is unreliable.
",4.0 out of 5 stars
"
  Across all the models released by one plus, this is going to be listed at the last place for its poor performance... Ordered for a replacement with in 3 business day.. Light weight and blue color is catchy. Apart from this this is goin to b a regular android phone, as like MI
",2.0 out of 5 stars
"
  I have returned this product after using it for a couple of days",1.0 out of 5 stars
"
   Camera I never thought it get disturbance like these it take time to recapture object whill video mode is recorded
",1.0 out of 5 stars
"
  Mobile works fluid. It's a plus to have a 12/256gb variant. Basically it's a packed phone. And Oxygen OS is a plus.
",5.0 out of 5 stars
"
  Camera quality is superb. Display is of high quality and of excellent clarity.",5.0 out of 5 stars
"
  The product is not worth at this price ...",3.0 out of 5 stars
"
   Camera quality is pathetic battery life is pathetic network carrier is horrible I was using OnePlus 6t every thing was awsum I bought this one started hating in just 6 hrs took 1.5hrs to get fully charged plz dont buy this phone
",1.0 out of 5 stars
"
  Battery life is average max 16-18hrs.",4.0 out of 5 stars
"
  4 star because of missing alert slider and sound quality.",4.0 out of 5 stars
"
  oneplus damaged its own name and fame ....one word dont buy it....selfie worst worst wost but all there average ..if camera was good....its a super model they fooled midrange customers
",1.0 out of 5 stars
"
  I would suggest don't buy this product. So many issues in the OS. In each and every application, facing different types of problem.",2.0 out of 5 stars
"
  Overall good product however not much faster processor as per expectation.but light weight and nice feel in hand. A little bit finger prunt reader should have faster more....but overall ok in this price range from one plus and amazon service best.
",5.0 out of 5 stars
"
  Awesome phone it's rocket fast processor and soft animation of menu n options. Since form two weeks I'm using it n everytime I operate it its blows me with Awesome.. good work one plus. Price is little higher side but worth it. Order got delayed two or three days but best thing will take time.
",5.0 out of 5 stars
"
  I will suggest pls don't buy this phone...",1.0 out of 5 stars
"
  The one Plus brand id is very popular but this particular nord 5ce product has some issues with performance and functionality. 1. Call drop which is very basic. When on call if new call in waiting both calls gets dropped. no conferencing was working....and battery was just 5 to 6 hrs lasting.
",2.0 out of 5 stars
"
  Camera quality not good.
",4.0 out of 5 stars
"
  I use One Plus One, Two, 3T all were best mobiles. This Nord 12 GB Ram, 256 GB disk is WORST Mobile.",1.0 out of 5 stars
"
  Its been 6 days since the delivery and in these 6 days it has factory reset 2 times by its own. I counted understand what to do I visited the customer care there was a huge line, than I called customer care they told me to visit service center. I don't know how to deal with this.
",1.0 out of 5 stars
"
  Very bad camera ,very bad charging technology",1.0 out of 5 stars
"
  It's a budget version of One Plus to make an entry among low budget phones..Nothing special other than One Plus name itslef....heating issue while talking and charging, mic issue observed...
",3.0 out of 5 stars
"
  Just amazing so smooth display same like apple .",5.0 out of 5 stars
"
  love the OS and smoothness  of the phone but, selfie and video call is too worst , never expected this pathetic front camera from Oneplus , Waiting for Nord2 because I am big fan of Oneplus mobile.
",2.0 out of 5 stars
"
  Very good performance. The One Plus Switch utility worked so well. Phone is cheap and the best from One Plus.
",5.0 out of 5 stars
"
  Very bad mobile ,,,,,,",1.0 out of 5 stars
"
  Very nice phone .... proved to be match winner in all the areas.... Be it battery , camera, performance, display, biometrics, display.........
",5.0 out of 5 stars
"
  I feel so far as the ease of handling is concerned my old OnePlus six is better",3.0 out of 5 stars
"
  The screen flickers very often , the worst product from One Plus ! Wasnt there any quality check ?
",1.0 out of 5 stars
"
  It is like normal phone, not a oneplus mark phone",1.0 out of 5 stars
"
  Pros:",2.0 out of 5 stars
"
  Phone is good, battery could have been better it lasts only a day. Camera is good, photos are amazing.",4.0 out of 5 stars
"
  I am very happy after using one plus Nord ce. This is excellent phone. Very fast , and camara quality are so good also battry is very good. All the petures and phone look very nice
",5.0 out of 5 stars
"
  If you like OnePlus don't buy it, it is purely a OPPO phone. Looks, build quality, battery backup all are like OPPO phone. Don't expect much.
",3.0 out of 5 stars
"
  One will easily get better phones in oppo samsung realme in this price range. But one plus has totally disappointed. Camera is like that of a 10 k phone. Vooc charging is not there. Battery backup is also not good. Bas 5 g k name pe junior g bana diya one plus ne
",1.0 out of 5 stars
"
  Generic One Plus Quality as found in one plus phones.",4.0 out of 5 stars
"
  Lovely phone at this price range, great speed, camera and display, truly value for money. Love the blue colour battery life is so good...
",5.0 out of 5 stars
"
  This phone more then time laging and incoming calling time the phone not visibility that character name,and automatically this phone brightness changing. Face lock is not good
",4.0 out of 5 stars
"
  I bought OnePlus Nord CE for oxygen os and camara but the camera is ok..not that great face unlock is very good..it lags little on heavy gameing.. overall it's good..",4.0 out of 5 stars
"
   Great disappointment for me to use OnePlus Nord CE 5g. Charging function is too slow comparing to the ad they had given. I bought it yesterday that is on 23rd of June and returned on the same day. OnePlus 5T is far better than this Nord CE.
",1.0 out of 5 stars
"
  I liked the phone. I had also used oneplus x before and what I liked is they have the orignal android feel. Other company installs there own apps in the phone and notification popups of them is so irritating.
",5.0 out of 5 stars
"
  Phone is very good. But the battery charging they said 0-70% in just 30 mins is a wrong statement. Its taking atleast 4 hours for full charge.",3.0 out of 5 stars
"
  Battery back up is very bad. Though it charges quickly but drains too fast without using any heavy app or games. No built in FM. Camera quality not upto the mark. My 8.5k redmi 9 is much user friendly than this. Not worth 24k.
",2.0 out of 5 stars
"
  Best phone for basic users who do not play games on the phone. Oxygen OS is awesome and provides very clean interface. No bugs and laggy OS like Xiaomi. I am used to clean interface, was earlier using Mi A2 with stock android.
",5.0 out of 5 stars
"
  I had observed some software issues. I am a heavy user. Have lot of apps on my phone. I Found the phone freezing sometimes . Some features so not work as expected.
",3.0 out of 5 stars
"
  As you mentioned there's an option for EMI when buying this phone... But at the checkout I couldn't find any EMI option and no any flat Rs1000/- as I have used HDFC Credit Card....",2.0 out of 5 stars
"
  Everything is good about mobile, but getting hang from 2nd day itself.
",3.0 out of 5 stars
"
  The phone is too good and damn beautiful. I have no word to describe how beautiful it looks.",5.0 out of 5 stars
"
  Camera quality is just horrible...and also quick battery drainage... within 2hrs... wasn't expecting this kind of forgery from Amazon giving such defective products to their customers.",1.0 out of 5 stars
"
  Use of 15 days, first time user. Camera Image quality is not good. Even Phones under 10K gives good quality. Battery is ok. In OS, doesn't feel like oxygen OS by OnePlus. Performance is also ok. Compare to price, not worthy. I have motorola g9, having same performance.
",4.0 out of 5 stars
"
  Product is Very nice but delivery little bit disappointment
",4.0 out of 5 stars
"
  Smooth touch sensitivity",4.0 out of 5 stars
"
  Very bad gallery application one plus is offering. Do not buy this phone unless the gallery application is given an update. Deleting photos takes a lot of time. You have good phones in less price with other companies. Just tried one plus for the first time and i am disappointed.
",2.0 out of 5 stars
"
  Very nice phone, good battery life and fast charging, but slightly disappointed with camera, I thought 64 MP of 1 plus is better than other phone 64 MP in this price segment but there is no difference....but processor and speed of the device make this phone very good
",4.0 out of 5 stars
"
  Rubbish, sound quality is very poor. Black spot on name of one plus
",1.0 out of 5 stars
"
  Read out!! Battery 🔋 issues! Battery draining at it's best! Consuming more battery charge than my old phone. If you are using phone for your work then you'll need to charge it again at the end of the day! The issue started from the 4th day itself. Fingerprint reader very slow!
",3.0 out of 5 stars
"
  I'm using it since 20 June phone is good but I hav isuue with selfie camera don't findit very good.overall phone is good for normal working as daily uses we use it.Charging rapidly back camera very impressive multitasking and long battery backup are pros
",5.0 out of 5 stars
"
  I bought it assuming a good quality phones from Oneplus, but This was mistake. Camera quality is not good as compared to Nord. This is the cheap phone Nord CE.",2.0 out of 5 stars
"
  Don't buy this phone , i have returned 2 phone , 3rd one also will return which is bought for my relative . charging is not happening . Poor quality of standard in camera , response,  definitely not the expected one plus standard .  added info its manufactured by oppo mobiles .
",1.0 out of 5 stars
"
   Bettery Back up issue",1.0 out of 5 stars
"
  Overall its a nice buy in terms of battery life, processor, ease, looks. Functions satisfactorily but the only con i felt was with the camera quality. Spending around 22k to 25k on this and getting quality matches like some 8-9k smartphone is a turnoff!
",4.0 out of 5 stars
"
  Battery life is really poor on this phone. Rest performance wise it is at par with any other phone with these specs. I upgraded from Poco F1 ( or so I thought) but apart from a better camera no great difference.
",3.0 out of 5 stars
"
  You are getting Best experience if you are switching from others brand of android mobile like OPPO, Vivo, mi. Everything is up to mark for this price segment",5.0 out of 5 stars
"
  Waste product! It won't detect SIM on slot 1 properly. Calling is a basic feature that should be proper on any mobile. I don't know why they messed up.  No use speaking with One Plus support! Worst service ever
",1.0 out of 5 stars
"
  Phone is light weight. Back camera good, but front camera not. Battery is draining fast. No problem with Fingerprint. Phone charged zero to 70% in 40 minutes, not in 30 minutes. I will say this is good one in this price segment and only disappointment is battery.
",4.0 out of 5 stars
"
  Excellent purchase. I found battery draining bit faster. I'm lucky I ordered for 8GB but found 12GB in the box.
",5.0 out of 5 stars
"
  Very bad product..I used one plus 5 before and can't compare the performance even with that.processor and other claims are not matching with phone performance. Wats app and searching contacts taking lot of time..worse product and didn't expect this from one plus
",1.0 out of 5 stars
"
  Front camera quality worst it just like 8-10k phone",1.0 out of 5 stars
"
  After using couple of days",4.0 out of 5 stars
"
  Worst performance... Lagging even in 12 GB RAM..Camera quality is not even one plus one level
",1.0 out of 5 stars
"
  Satisfied with the performance & fast charging. No bloatwares pretty smooth performance.
",5.0 out of 5 stars
"
  Everything is good but, there is a software problem disturbances in UI display and battery not charging fast as mentioned in OnePlus scenerio. Some inbuild applications won't work properly. May be my device is a defective peice whether I don't know.
",3.0 out of 5 stars
"
  iT IS NOT GOOD AS PREVIOUS oNEpLUS nORD. mY EXPECTATION IS hIGH. iT DOESN'T FULFILLED.
",3.0 out of 5 stars
"
  Phone charging is very fast, same way battery discharging is super fast, photos or videos deletions taking long time it's like tortoise, worest face reader sensor and finger scanner, not a user friendly options, earlier used Vivo v9 it's 100% better than this Nord mobile
",2.0 out of 5 stars
"
  All r awsome. Specially Camera quality.
",5.0 out of 5 stars
"
  Just bought yesterday using it and loving it for now hope it will work per price money
",4.0 out of 5 stars
"
  Lots of times showing wait or close app this mobile having software problem....worst experience....my previous mobile samsung is better than OnePlus.. because I almost used 3 years still it's working good I have not faced any problems.... OnePlus is really never settled
",1.0 out of 5 stars
"
  Premium phone, awesome design, clean OS.",5.0 out of 5 stars
"
  If you want a great UI experience , great processor,reliability and supreme display quality, grest battery life then go for this one it ticks all the boxes for me.",4.0 out of 5 stars
"
  1. Finger print super.",3.0 out of 5 stars
"
  Phones interface is really good and touch is really smooth. Though battery will drain soon if unless it on standby mode. Overall good product.
",5.0 out of 5 stars
"
  Camera is not of flagship type but it will take very good pictures in normal day light. Processor is very good, no lag during gaming. Charging is very fast. Display is good. Speaker sound is good.
",4.0 out of 5 stars
"
  Seriously a design issue. While talking torch blue tooth rotation button getting on
",3.0 out of 5 stars
"
  The caller's dial pad works a little slowly. camera nd battery is avarage but good. Battery gets fully charged in approx 45 minutes. Fingerprint is good . All in one If u want buy one plus phone , So you can fulfill the wish of OnePlus by buying this phone.
",5.0 out of 5 stars
"
  Battery life is very bad it's working like 3000 MAH battery and camera is very worst when I am in video call or selfie 🤳",1.0 out of 5 stars
"
  Not good as expected.",3.0 out of 5 stars
"
  Worst phone stopped working after five hours of use ,now facing big difficulty in return .Amazon couriers people are not taking it back
",1.0 out of 5 stars
"
  If u want to buy a A ONEPLUS phone then u can.but nothing is best in this.camera is lyk 12k phone.very cheap quality sensor. In one word this phone is not value for money.
",2.0 out of 5 stars
"
  Ordered OnePlus Nord CE 5G (Blue Void, 8GB RAM, 128GB Storage) mobile phone. Product came in safe packing and arrived on time.The phone works fine.all features good as per specification. Thanks to Amazon for prompt and safe delivery.
",5.0 out of 5 stars
"
  Camera front or back dono bahut hi bekar photo nikalta hai ise update se thik karne ki jaroorat hai.",4.0 out of 5 stars
"
  Camera Quality not that much expected as advertised, I just compared with samsung F62, my one plus ce 5 looks low quality in lenses, not that much as 1+ advertised in pre-launch time....
",1.0 out of 5 stars
"
  I used the phone 10min after that my fingerprint sensor not working, and I am not able to unlock my phone even it's not showing pin or pattern unlock...
",1.0 out of 5 stars
"
  When I received the product Touch is not working properly.I told amazon and the told the product is out of stock so cannot be replaced but money can be refunfed. This is terrifying.I have to wait till the new phone arrive.
",1.0 out of 5 stars
"
  MOBILE IS realy good one in all the parameters value for money but all the tim Amazon proving looting exchange offer to just make attractive offer . At the time of exchange with an excuse than they reject old mobile ....kindly change ur looting exchange strategy ...
",5.0 out of 5 stars
"
  not satisfied with this device the camera quality is not so good and also looks cheap not a great deal this is my second phone after  4 years  truly very bad experience with one plus and  and never and ever wanna settle with this phone. bekarr and bakwas
",3.0 out of 5 stars
"
  It's an amazing feeling to have a one plus device for the first time. Truly amazed by the oxygen os, it's smooth like butter. But in direct sunlight u might have a viewing problem. Otherwise it's runs smoothly. One good thing is that it does not have 3rd party apps.
",4.0 out of 5 stars
"
  Within 3 hour after product delivery speaker stop working automatically don't know what went Wrong with this product.",2.0 out of 5 stars
"
  Screen quality is awesome & finger reading is so fast, charging speed us too good
",5.0 out of 5 stars
"
  This is the best in market.",5.0 out of 5 stars
"
  After using it 2 weeks I say it's not value for money.",3.0 out of 5 stars
"
  Massive disappointment from One Plus.It looks like the One Plus Nord CE 5G was built by some amateur. The front camera has bug. WiFi call keeps on dropping. The phone keeps on hanging. Looks like a phone full of bug. Best avoided.
",1.0 out of 5 stars
"
  I had purchased OnePlus Nord CE 5G (Charcoal Ink, 6GB RAM, 128GB Storage) mobile, this mobile gives more hits while charging and even after doing it continuously for 20 minutes, it gets hit",1.0 out of 5 stars
"
  product light weight... easy to use..poor battery backup
",1.0 out of 5 stars
"
  The quality of camera is poor. Front camera is like 5mp camera.
",1.0 out of 5 stars
"
  Oneplus never fails to amaze me. Good flagship phone within budget.",4.0 out of 5 stars
"
  Oneplus Nord CE one of the worst phone I have ever seen. 1+ didn't meet the expectations. Camera Quality is very poor in 4K. While shooting 4K video's I have seen some double images. 12GB ram phone is getting hanged while use whats app and while useing Dail pad.
",1.0 out of 5 stars
"
  i got impressed with word one plus and upgraded from honor . But camera is far and much better in my old phone worst camera experience wit one plus. camera quality is very poor when compared to other smart phones.Do not buy this phone and waste money
",1.0 out of 5 stars
"
  Perfect , value of money , its camera quality is awesome, slim , perfect to hold in hand , really amazing, it gives full challenge to other phone whose price is more than 35k. Really amazing buy.No need to think about phone , u can blindly believe in this phone.
",5.0 out of 5 stars
"
  Phone is good, everything is good but when i deleting photos from gallery and rename any folder its taking too too much time, i naver expect this from OnePlus phones, and hidden features is very bad, what is the meaning of hidden, very bad features from OnePlus.
",4.0 out of 5 stars
"
  It's very lite weight and easy to use, Alexa slider is not mandatory for midrange phones. We need to check display, sound, user experience, camera, easy to carry and use. This device is damn good in these aspects. A big thumbs up 👍 for this device.
",5.0 out of 5 stars
"
  Do not buy this, you will regret it.",1.0 out of 5 stars
"
  1) Camera quality is very average",1.0 out of 5 stars
"
  Not OnePlus quality, phone is ok, processor is good, but price not justify, if it comes between 18000-20000 range then it's better option. Also only one 5g band which is not useful.
",3.0 out of 5 stars
"
  Camera 6/10",4.0 out of 5 stars
"
  Front camera is total crap. Back camera not able to capture real texture. My 5 year old Vivo phone has better camera than this useless phone. Don't buy.
",1.0 out of 5 stars
"
  For those whose budget is low then this mobile is good for that person ...only camera quality is poor ,otherwise this mobile is best at this price
",3.0 out of 5 stars
"
  Worst phone i have ever seen .there is so much hanging problem in this problem.",1.0 out of 5 stars
"
  Lightweight,processor is very smooth, camera quality is amazing, Great product and very good service by Amazon.
",5.0 out of 5 stars
"
  Fast charging is not working 🚫.",2.0 out of 5 stars
"
  Jus go for it , I would say best at this price with all features loaded
",5.0 out of 5 stars
"
  I would really like the product if I would had recieved it. What got delivered was a opened box, with a local back cover, a fingerprint scanner, a local charger. None of the mentioned box contents in the order were there in the box.. Extremely disappointed..!
",1.0 out of 5 stars
"
  Fingerprint not working most of the times",3.0 out of 5 stars
"
  Not good option given of Call recorder, foolish option of  selecting of contacts to call record .Speaker gets on oftenly while attending cal, And Battery back up is also not worthy has to charge twice in a day. Really very disappointed with OnePlus this time.
",1.0 out of 5 stars
"
  One plus lost the brand value. Overpriced mobile; better to use non chinese mobile.
",1.0 out of 5 stars
